,product_id,product_id_num
0,196,195
1,10258,10216
2,10326,10282
3,12427,12375
4,13032,12976
5,13176,13119
6,14084,14026
7,17122,17053
8,25133,25032
9,26088,25978
10,26405,26294
11,30450,30318
12,35951,35802
13,38928,38766
14,39657,39489
15,41787,41609
16,46149,45950
17,49235,49016
18,23,22
19,79,78
20,1559,1550
21,2002,1992
22,2573,2562
23,3151,3137
24,4071,4049
25,4957,4929
26,5212,5184
27,5322,5293
28,5450,5421
29,5869,5840
30,5907,5878
31,7781,7743
32,7963,7925
33,8138,8100
34,8296,8258
35,8479,8441
36,9124,9084
37,9681,9639
38,10305,10261
39,12000,11948
40,12258,12206
42,13351,13294
43,13742,13684
44,14306,14248
45,14553,14495
46,15841,15780
47,16521,16456
48,16589,16523
49,16797,16729
50,17224,17155
51,17758,17687
52,17872,17801
53,18523,18451
54,18961,18886
55,19051,18976
56,19057,18982
57,19156,19079
58,19240,19163
59,20084,20004
60,20574,20492
61,20785,20701
62,21150,21065
63,21227,21140
64,21376,21289
65,21709,21620
66,22124,22034
67,22474,22383
68,22559,22468
69,22825,22733
70,22829,22737
71,22963,22870
72,24768,24669
73,24852,24752
74,24954,24853
75,24990,24889
76,27344,27230
77,27413,27298
78,27737,27620
79,27966,27849
80,28874,28753
81,28918,28797
82,30489,30357
83,30908,30774
84,32052,31915
85,32139,32002
86,32792,32652
87,33276,33136
88,33754,33612
89,33957,33814
90,34688,34542
91,35917,35768
92,36287,36136
93,36735,36581
94,37646,37489
95,38656,38494
96,39877,39708
97,39928,39759
98,40198,40029
99,40571,40400
101,42342,42159
102,42356,42173
103,44303,44114
104,45066,44872
105,45613,45416
106,45948,45751
107,46676,46470
108,46886,46679
109,47144,46936
110,47209,47001
111,47526,47317
112,47553,47344
113,47766,47555
114,47792,47581
115,48099,47887
116,48110,47898
117,48210,47997
118,49273,49054
119,49451,49230
120,248,247
121,1005,1000
122,1819,1810
123,7503,7467
124,8021,7983
125,9387,9346
126,12845,12790
127,14992,14933
128,15143,15084
130,16965,16896
131,17668,17597
132,18370,18298
133,18599,18526
134,21137,21052
135,21903,21814
136,22035,21945
137,23650,23557
138,24010,23916
139,24810,24711
140,28373,28253
141,32402,32263
142,38596,38434
143,39190,39025
144,39922,39753
145,40604,40433
146,42265,42084
147,42557,42374
148,43961,43773
149,44683,44492
151,48523,48308
152,49683,49459
153,274,273
154,519,516
155,4920,4892
156,4945,4917
157,6361,6331
158,8277,8239
159,8518,8480
160,9598,9556
161,10504,10460
162,10895,10849
163,11520,11469
164,12196,12144
166,13198,13141
167,13249,13192
168,13802,13744
169,14267,14209
170,14332,14274
171,15581,15520
172,15592,15531
173,17638,17567
174,18382,18310
175,18880,18805
176,19019,18944
177,19678,19599
179,21298,21211
180,22000,21910
181,22742,22650
183,23516,23423
184,23712,23619
185,25199,25098
186,26209,26099
187,26346,26235
188,27156,27042
190,27690,27573
191,29602,29476
192,29871,29744
193,29894,29767
194,29993,29866
195,30391,30260
196,31343,31207
197,31683,31547
198,31717,31581
199,32177,32040
200,33740,33598
201,35333,35184
202,37602,37445
203,37999,37840
204,39121,38956
205,39275,39109
206,40852,40677
208,42803,42618
209,42828,42643
210,43352,43165
211,43967,43779
212,44661,44470
214,45537,45340
215,45628,45431
216,46969,46762
217,47272,47064
218,47623,47414
220,49508,49286
221,1689,1680
222,4210,4188
223,5025,4997
224,5618,5589
225,5652,5623
226,5991,5962
227,7099,7063
228,14197,14139
229,18168,18096
230,19474,19395
231,19934,19854
232,25134,25033
233,27086,26972
234,27435,27320
235,29334,29210
236,31134,30998
237,31372,31236
238,32446,32307
239,32850,32710
240,33735,33593
241,34382,34238
242,37385,37229
243,41351,41174
244,41480,41303
245,41926,41747
246,42125,41944
247,42248,42067
248,43086,42901
249,44142,43953
250,239,238
251,831,827
252,1261,1254
253,1958,1948
254,2138,2127
255,2927,2914
256,3384,3369
257,3808,3789
259,4489,4465
260,4497,4472
261,4759,4732
262,4893,4866
263,5077,5049
264,5595,5566
265,5782,5753
266,5818,5789
267,6518,6488
268,7239,7203
269,7751,7714
270,7877,7839
271,8193,8155
272,8512,8474
273,8670,8632
274,8744,8705
275,8928,8889
276,9076,9036
277,9239,9199
278,9477,9435
279,9774,9732
280,10321,10277
281,10549,10505
282,10568,10524
283,10735,10690
284,10776,10731
285,11131,11084
286,11348,11299
287,11418,11368
288,11703,11652
289,12168,12116
290,12232,12180
291,12323,12271
292,12358,12306
293,12429,12377
294,12432,12380
295,12448,12396
296,12496,12444
297,12703,12650
298,13145,13088
299,13159,13102
300,13525,13467
301,13966,13908
302,14613,14554
303,14875,14816
304,15078,15019
305,15134,15075
306,15172,15113
307,15358,15298
308,15673,15612
309,15869,15808
310,16776,16708
311,17556,17486
312,17923,17852
313,18069,17997
314,18439,18367
315,19003,18928
316,19307,19229
317,19585,19506
318,19750,19671
319,20938,20854
320,21689,21600
321,22179,22089
322,22337,22246
323,22849,22757
324,23271,23178
325,23360,23267
326,23803,23709
327,23819,23725
328,24622,24523
329,24970,24869
330,25309,25207
332,27012,26899
333,27135,27021
334,27862,27745
335,28601,28481
336,29382,29256
337,29509,29383
338,30295,30166
339,30517,30385
340,31701,31565
342,32051,31914
343,32115,31978
344,32158,32021
345,32211,32074
346,32428,32289
347,32476,32337
348,33041,32901
349,33086,32946
350,33360,33220
351,33689,33548
352,34229,34085
353,34234,34090
354,34827,34679
355,35264,35115
356,35416,35267
357,37266,37110
358,37434,37278
359,37725,37567
360,38342,38181
361,38845,38683
362,39399,39232
363,39545,39377
364,40162,39993
365,40286,40117
366,40330,40161
367,40348,40179
368,40478,40307
369,40540,40369
370,40836,40661
371,40925,40750
373,43127,42941
374,43863,43675
375,44212,44023
376,44799,44608
377,44813,44622
379,45099,44905
380,45407,45210
381,45519,45322
382,46454,46249
383,46547,46342
384,46979,46772
385,47117,46909
386,48101,47889
387,48190,47977
388,48566,48350
389,48572,48356
390,49010,48791
391,49481,49260
393,1747,1738
394,10441,10397
395,11266,11218
397,14715,14656
398,27839,27722
399,30292,30163
400,37059,36903
401,37710,37552
402,42862,42677
403,43721,43534
404,48142,47930
405,812,808
406,1073,1067
407,1774,1765
409,4591,4565
411,5128,5100
412,5748,5719
413,6212,6183
414,6334,6304
415,7026,6991
416,7350,7314
417,7992,7954
418,8730,8692
419,9006,8966
420,9176,9136
422,9634,9592
423,9641,9599
424,10300,10256
425,10921,10875
426,11919,11867
427,12513,12461
428,12720,12666
429,12855,12800
430,14146,14088
431,15125,15066
432,15820,15759
433,15844,15783
434,15925,15862
435,16188,16125
436,16486,16421
438,17040,16971
439,17762,17691
440,18534,18462
441,18567,18494
442,18855,18780
443,19468,19389
444,19766,19687
445,20215,20135
446,20934,20850
447,21187,21101
448,21553,21464
449,22309,22218
450,23117,23024
451,25307,25205
452,25464,25359
453,26767,26655
454,27629,27512
455,29004,28883
456,29589,29463
457,29791,29664
458,30992,30858
459,31268,31132
460,32498,32359
461,33560,33419
462,35419,35270
463,36130,35980
464,36463,36311
465,36552,36400
466,36736,36582
467,38444,38282
468,38618,38456
469,38760,38598
470,40203,40034
471,40592,40421
472,40844,40669
474,43986,43798
475,44234,44045
476,44265,44076
477,44492,44301
478,45190,44996
479,46844,46637
480,47031,46824
481,47141,46933
482,47577,47368
483,47940,47729
484,48544,48329
485,48682,48466
486,48933,48715
487,49131,48912
489,2434,2423
490,3023,3010
491,3485,3469
492,4006,3985
493,4606,4580
494,5860,5831
495,6348,6318
496,6576,6546
497,6991,6956
498,7331,7295
500,8214,8176
501,8668,8630
503,10151,10109
504,10957,10911
505,11187,11140
506,11352,11303
507,11662,11611
508,12013,11961
509,12129,12077
510,12615,12563
511,12683,12631
512,13263,13206
513,13588,13530
514,14708,14649
515,14788,14729
516,15618,15557
517,15720,15659
518,15902,15839
519,16139,16076
520,16464,16399
522,17038,16969
523,17616,17545
524,17982,17910
526,18721,18647
527,18793,18719
528,20272,20190
530,21508,21419
531,22275,22184
532,23504,23411
533,23729,23636
534,24186,24091
535,24799,24700
538,25513,25407
539,25740,25632
541,27044,26930
543,27548,27431
544,28199,28082
545,28204,28087
546,28465,28345
547,29095,28974
548,29127,29006
549,30425,30294
550,30618,30485
551,31387,31251
552,32553,32414
553,32645,32506
554,33065,32925
555,33127,32987
556,33548,33407
